Owned Facility Inventory Report,,,,,,,,,,,,
,,,,,,,,,,,,
Report Filter:,,,,,,,,,,,,
(Ownership = Owned) And ({Property Status} = Active) And (ST = TX) And ({Building Ownership Description} <> Building Data on another record,,,,,,,,,,,,
,,,,,,,,,,,,
District,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Ownership,FDB Facility Type (All),FDB Facility Subtype (All),Bldg Occu Date,Int Sq Ft
TEXAS 2,CUERO,MAIN OFFICE,301 E MAIN ST,DE WITT,CUERO,TX,77954-9998,Owned,Post Office,Administrative Post Office (APO),9/1/1969,"6,027"
TEXAS 1,CUNEY,MPO/MODULAR BLDG,9455 US HIGHWAY 175 W,CHEROKEE,CUNEY,TX,75759-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),4/1/1998,"1,464"
TEXAS 1,CUNNINGHAM,MPO/MODULAR BLDG,12810 FM 196,LAMAR,CUNNINGHAM,TX,75434-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),5/1/1998,"1,500"
TEXAS 2,CYPRESS,MAIN OFFICE,16635 SPRING CYPRESS RD,HARRIS,CYPRESS,TX,77429-9998,Owned,Post Office,Main Post Office,10/1/1976,"25,741"
TEXAS 1,DAINGERFIELD,MAIN OFFICE,214 W SCURRY ST,MORRIS,DAINGERFIELD,TX,75638-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1960,"8,495"
TEXAS 1,DALLAS,BENT TREE STATION,4475 TRINITY MILLS RD,DALLAS,DALLAS,TX,75287-9998,Owned,Post Office,Station,11/1/1988,"16,921"
TEXAS 1,DALLAS,BEVERLY HILLS STA,2202 S COCKRELL HILL RD,DALLAS,DALLAS,TX,75211-9998,Owned,Post Office,Station,3/1/1976,"24,721"
TEXAS 1,DALLAS,BROOKHOLLOW STATION,5055 NORWOOD RD,DALLAS,DALLAS,TX,75247-9998,Owned,Post Office,Station,4/1/1987,"29,246"
TEXAS 1,DALLAS,DOWNTOWN STATION,400 N ERVAY ST,DALLAS,DALLAS,TX,75201-9998,Owned,Post Office,Station,5/1/1930,"26,076"
TEXAS 1,DALLAS,DR CAESAR CLARK STATION,1502 E KIEST BLVD,DALLAS,DALLAS,TX,75216-9998,Owned,Post Office,Station,12/1/1987,"16,739"
TEXAS 1,DALLAS,FARMERS BRANCH BRANCH,13904 JOSEY LN,DALLAS,DALLAS,TX,75234-9998,Owned,Post Office,Branch,7/1/1978,"16,869"
TEXAS 1,DALLAS,HIGHLAND HILLS STA,3655 SIMPSON STUART RD,DALLAS,DALLAS,TX,75241-9998,Owned,Post Office,Station,2/1/1977,"8,361"
TEXAS 1,DALLAS,JOE POOL STATION,5521 S HAMPTON RD,DALLAS,DALLAS,TX,75232-9998,Owned,Post Office,Station,5/1/1998,"22,988"
TEXAS 1,DALLAS,JUANITA CRAFT STATION,3055 AL LIPSCOMB WAY,DALLAS,DALLAS,TX,75215-9998,Owned,Post Office,Station,9/1/1990,"25,448"
TEXAS 1,DALLAS,LAKE HIGHLANDS STA,10502 MARKISON RD,DALLAS,DALLAS,TX,75238-9998,Owned,Post Office,Station,7/1/1986,"11,218"
TEXAS 1,DALLAS,LAKEWOOD STATION,6120 SWISS AVE,DALLAS,DALLAS,TX,75214-9998,Owned,Post Office,Station,4/1/1976,"9,083"
TEXAS 1,DALLAS,MEDRANO STATION,8624 FERGUSON RD,DALLAS,DALLAS,TX,75228-9998,Owned,Post Office,Station,6/1/2000,"31,540"
TEXAS 1,DALLAS,NDC,2400 DALLAS FT WORTH TPKE,DALLAS,DALLAS,TX,75398-9100,Owned,Network Facilities,Network Distribution Center (NDC/ASF),7/1/1975,"547,059"
TEXAS 1,DALLAS,NDC,2400 DALLAS FT WORTH TPKE,DALLAS,DALLAS,TX,75398-9100,Owned,Network Facilities,Logistics (LOG),7/1/1975,"547,059"
TEXAS 1,DALLAS,NORTHAVEN STA,2736 ROYAL LN,DALLAS,DALLAS,TX,75229-9998,Owned,Post Office,Station,4/1/1975,"14,412"
TEXAS 1,DALLAS,NORTHWEST STATION,2341 W NORTHWEST HWY,DALLAS,DALLAS,TX,75220-9998,Owned,Post Office,Station,8/1/1987,"23,009"
TEXAS 1,DALLAS,OAK LAWN STATION,2825 OAK LAWN AVE,DALLAS,DALLAS,TX,75219-9998,Owned,Post Office,Station,2/1/1982,"18,232"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Post Office,Main Post Office,7/1/1978,"439,959"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Post Office,Finance Station - No Delivery,7/1/1978,"439,959"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),7/1/1978,"439,959"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Post Office,Carrier Annex (ANX),7/1/1978,"439,959"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Administrative Office,Office of the Inspector General Office (OIG),7/1/1978,"439,959"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Other Customer Service,Computerized Forwarding System (CFS),7/1/1978,"439,959"
TEXAS 1,DALLAS,P&DC,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9998,Owned,Network Facilities,Logistics (LOG),7/1/1978,"439,959"
TEXAS 1,DALLAS,PARKDALE STATION,7720 MILITARY PKWY,DALLAS,DALLAS,TX,75227-9998,Owned,Post Office,Station,11/1/1975,"12,194"
TEXAS 1,DALLAS,PLEASANT GROVE STA,350 S BUCKNER BLVD,DALLAS,DALLAS,TX,75217-9998,Owned,Post Office,Station,2/1/1998,"19,541"
TEXAS 1,DALLAS,PRESTON STATION,8604 TURTLE CREEK BLVD,DALLAS,DALLAS,TX,75225-9998,Owned,Post Office,Station,8/1/1972,"9,672"
TEXAS 1,DALLAS,PRESTONWOOD STATION,5995 SUMMERSIDE DR,DALLAS,DALLAS,TX,75248-9998,Owned,Post Office,Branch,11/1/1988,"26,979"
TEXAS 1,DALLAS,RICHLAND STATION,9130 MARKVILLE DR,DALLAS,DALLAS,TX,75243-9998,Owned,Post Office,Station,11/1/1989,"53,394"
TEXAS 1,DALLAS,RICHLAND STATION,9130 MARKVILLE DR,DALLAS,DALLAS,TX,75243-9998,Owned,Administrative Office,Postal Inspection Service Field Division (USPIS),11/1/1989,"53,394"
TEXAS 1,DALLAS,RICHLAND STATION,9130 MARKVILLE DR,DALLAS,DALLAS,TX,75243-9998,Owned,Administrative Office,Office of the Inspector General Office (OIG),11/1/1989,"53,394"
TEXAS 1,DALLAS,SEAGOVILLE MAIN OFFICE,15300 SEAGOVILLE RD,DALLAS,DALLAS,TX,75253-9998,Owned,Post Office,Main Post Office,10/1/1992,"13,495"
TEXAS 1,DALLAS,SPRING VALLEY STATION,13770 NOEL RD,DALLAS,DALLAS,TX,75240-9998,Owned,Post Office,Station,2/1/1978,"43,494"
TEXAS 1,DALLAS,SPRING VALLEY VMF,4460 ALPHA RD,DALLAS,DALLAS,TX,75244-9996,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),12/1/1975,"8,940"
TEXAS 1,DALLAS,UNIVERSITY STATION,5606 SMU BLVD,DALLAS,DALLAS,TX,75206-9998,Owned,Post Office,Station,4/1/1981,"20,674"
TEXAS 1,DALLAS,VICKERY STATION,6640 ABRAMS RD,DALLAS,DALLAS,TX,75231-9998,Owned,Post Office,Station,8/1/1990,"24,923"
TEXAS 1,DALLAS,VMF,401 TOM LANDRY HWY,DALLAS,DALLAS,TX,75260-9731,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),7/1/1978,"34,365"
TEXAS 1,DALLAS,VMF,2400 DFW TURNPIKE,DALLAS,DALLAS,TX,75398-0001,Owned,,,7/1/1975,0
TEXAS 1,DALLAS,WHITE ROCK STATION,1351 N BUCKNER BLVD,DALLAS,DALLAS,TX,75218-9998,Owned,Post Office,Station,8/1/1987,"11,040"
TEXAS 1,DALLAS HAMILTON PARK,(R0BERT PRICE) STATION,8135 FOREST LN,DALLAS,DALLAS,TX,75230-9998,Owned,Post Office,Station,3/1/2000,"13,466"
TEXAS 2,DANEVANG,MPO/MODULAR BLDG,11294 S STATE HIGHWAY 71,WHARTON,DANEVANG,TX,77432-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),,697
TEXAS 2,DAYTON,MAIN OFFICE,110 S MAIN ST,LIBERTY,DAYTON,TX,77535-9998,Owned,Post Office,Main Post Office,9/1/1990,"13,210"
TEXAS 2,DEANVILLE ,MPO/MODULAR BLDG,6625 FM 111,BURLESON,DEANVILLE,TX,77852-4500,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1998,700
TEXAS 1,DECATUR,MAIN OFFICE,206 E WALNUT ST,WISE,DECATUR,TX,76234-9998,Owned,Post Office,Administrative Post Office (APO),1/1/2001,"8,280"
TEXAS 2,DEER PARK,MAIN OFFICE,200 E SAN AUGUSTINE ST,HARRIS,DEER PARK,TX,77536-9998,Owned,Post Office,Main Post Office,8/1/1994,"17,455"
TEXAS 3,DEL RIO,MAIN OFFICE,2001 N BEDELL AVE,VAL VERDE,DEL RIO,TX,78840-9998,Owned,Post Office,Main Post Office,1/1/1984,"12,044"
TEXAS 1,DENISON,MAIN OFFICE,231 W WOODARD ST,GRAYSON,DENISON,TX,75020-9998,Owned,Post Office,Main Post Office,4/1/1911,"33,752"
TEXAS 1,DENTON,MAIN OFFICE,101 E MCKINNEY ST,DENTON,DENTON,TX,76201-4255,Owned,Post Office,Main Post Office,2/1/1975,"88,788"
TEXAS 1,DENTON,MAIN OFFICE,101 E MCKINNEY ST,DENTON,DENTON,TX,76201-4255,Owned,Post Office,Sorting and Delivery Center (SDC),2/1/1975,"88,788"
TEXAS 1,DESOTO,MAIN OFFICE,229 S HAMPTON RD,DALLAS,DESOTO,TX,75115-9998,Owned,Post Office,Main Post Office,1/1/1975,"29,428"
TEXAS 3,DEVINE,MAIN OFFICE,111 W COLLEGE AVE,MEDINA,DEVINE,TX,78016-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1960,"3,836"
TEXAS 1,DIBOLL,MAIN OFFICE,302 N HENDRIX AVE,ANGELINA,DIBOLL,TX,75941-9998,Owned,Post Office,Main Post Office,11/1/1962,"4,012"
TEXAS 2,DIMEBOX,MAIN OFFICE,1017 STEPHEN F AUSTIN BLVD,LEE,DIME BOX,TX,77853-5366,Owned,Post Office,Remotely Managed Post Office (RMPO),7/1/1968,996
TEXAS 3,DRIPPING SPRINGS,MAIN OFFICE,1450 W HIGHWAY 290,HAYS,DRIPPING SPRINGS,TX,78620-9998,Owned,Post Office,Main Post Office,10/1/2009,"10,087"
TEXAS 3,DUMAS,MAIN OFFICE,315 S BLISS AVE,MOORE,DUMAS,TX,79029-9998,Owned,Post Office,Administrative Post Office (APO),8/1/1979,"8,527"
TEXAS 1,DUNCANVILLE,MAIN OFFICE,711 S CEDAR RIDGE DR,DALLAS,DUNCANVILLE,TX,75137-9998,Owned,Post Office,Main Post Office,10/1/1985,"15,159"
TEXAS 3,EAGLE PASS,MAIN OFFICE,410 S BIBB AVE,MAVERICK,EAGLE PASS,TX,78852-9998,Owned,Post Office,Administrative Post Office (APO),11/1/2001,"23,017"
TEXAS 1,EASTLAND,MAIN OFFICE,411 W MAIN ST,EASTLAND,EASTLAND,TX,76448-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1937,"7,885"
TEXAS 2,EDINBURG,MAIN OFFICE,410 S JACKSON RD,HIDALGO,EDINBURG,TX,78539-9998,Owned,Post Office,Administrative Post Office (APO),6/1/2000,"28,519"
TEXAS 2,EL CAMPO,MAIN OFFICE,110 S MECHANIC ST,WHARTON,EL CAMPO,TX,77437-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1938,"12,975"
TEXAS 3,EL INDIO,MPO/MODULAR BLDG,18496 FM 1021,MAVERICK,EL INDIO,TX,78860-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),2/1/1997,"1,472"
TEXAS 3,EL PASO,CORONADO STATION,7383 REMCON CIR,EL PASO,EL PASO,TX,79912-9998,Owned,Post Office,Station,8/1/1989,"32,433"
TEXAS 3,EL PASO,DOWNTOWN STATION,219 E MILLS AVE,EL PASO,EL PASO,TX,79901-9998,Owned,Post Office,Finance Station,6/1/1920,"31,498"
TEXAS 3,EL PASO,P&DC,8401 BOEING DR,EL PASO,EL PASO,TX,79910-9716,Owned,Post Office,Main Post Office,7/1/1997,"227,088"
TEXAS 3,EL PASO,P&DC,8401 BOEING DR,EL PASO,EL PASO,TX,79910-9716,Owned,Post Office,Station,7/1/1997,"227,088"
TEXAS 3,EL PASO,P&DC,8401 BOEING DR,EL PASO,EL PASO,TX,79910-9716,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),7/1/1997,"227,088"
TEXAS 3,EL PASO,P&DC,8401 BOEING DR,EL PASO,EL PASO,TX,79910-9716,Owned,Network Facilities,Logistics (LOG),7/1/1997,"227,088"
TEXAS 3,EL PASO,PEBBLE HILLS STATION,3100 N YARBROUGH DR,EL PASO,EL PASO,TX,79925-9998,Owned,Post Office,Station,8/1/1984,"22,751"
TEXAS 3,EL PASO,SANDY CREEK STATION,2100 GEORGE DIETER DR,EL PASO,EL PASO,TX,79936-9998,Owned,Post Office,Station,8/1/1999,"20,249"
TEXAS 3,EL PASO,SUNRISE STATION,4100 HERCULES AVE,EL PASO,EL PASO,TX,79904-9998,Owned,Post Office,Station,7/1/1985,"9,534"
TEXAS 3,EL PASO,VMF,8601 STINSON AVE,EL PASO,EL PASO,TX,79910-9721,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),1/1/1975,"6,391"
TEXAS 3,EL PASO,VMF AT P&DC,8401 BOEING DR,EL PASO,EL PASO,TX,79910-9998,Owned,,,,"15,420"
TEXAS 3,EL PASO,YSLETA STATION,880 N ZARAGOZA RD,EL PASO,EL PASO,TX,79907-9998,Owned,Post Office,Station,6/1/2001,"19,988"
TEXAS 3,EL PASO WASHINGTON ,PARK STATION,4400 E PAISANO DR,EL PASO,EL PASO,TX,79905-9998,Owned,Post Office,Station,9/1/1997,"16,072"
TEXAS 1,ELECTRA,MAIN OFFICE,200 W CLEVELAND AVE,WICHITA,ELECTRA,TX,76360-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1939,"8,380"
TEXAS 3,ELGIN,MAIN OFFICE,21 N AVENUE C,BASTROP,ELGIN,TX,78621-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1939,"6,936"
TEXAS 2,ELSA,MPO ,706 E Edinburg Ave,HIDALGO,ELSA,TX,78543-9800,Owned,Post Office,Administrative Post Office (APO),1/1/1993,"3,936"
TEXAS 1,ENERGY,MAIN OFFICE MODULAR,6950 FM 1702 S,COMANCHE,ENERGY,TX,76452-9900,Owned,Post Office,Remotely Managed Post Office (RMPO),9/1/1997,736
TEXAS 1,ENNIS,MAIN OFFICE,205 N MCKINNEY ST,ELLIS,ENNIS,TX,75119-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1916,"16,949"
TEXAS 1,ERA,MPO/MODULAR BLDG,7210 W FM 922,COOKE,ERA,TX,76238-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1996,736
TEXAS 3,ESTELLINE,MPO/MODULAR BLDG,710 CLEVELAND ST,HALL,ESTELLINE,TX,79233-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),7/1/1995,"1,472"
TEXAS 1,EULESS,MAIN OFFICE,210 N ECTOR DR,TARRANT,EULESS,TX,76039-3651,Owned,Post Office,Main Post Office,11/1/1978,"12,647"
TEXAS 1,FARMERSVILLE,MAIN OFFICE,213 MCKINNEY ST,COLLIN,FARMERSVILLE,TX,75442-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1939,"6,550"
TEXAS 3,FISCHER,MPO/MODULAR BLDG,4050 FM 484,COMAL,FISCHER,TX,78623-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),11/1/1995,736
TEXAS 3,FLAT,MPO/MODULAR BLDG,10065 S STATE HIGHWAY 36,CORYELL,FLAT,TX,76526-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1996,701
TEXAS 3,FLORESVILLE,MAIN OFFICE,141 PALOMA DR,WILSON,FLORESVILLE,TX,78114-9998,Owned,Post Office,Main Post Office,12/5/2008,0
TEXAS 3,FLUVANNA,MAIN OFFICE,930 10TH ST,SCURRY,FLUVANNA,TX,79517-9998,Owned,,,5/1/1966,803
TEXAS 1,FORNEY,MAIN OFFICE,102 E BROAD ST,KAUFMAN,FORNEY,TX,75126-9998,Owned,Post Office,Main Post Office,3/1/2001,"17,617"
TEXAS 1,FORT WORTH,8TH AVENUE STATION,2600 8TH AVE,TARRANT,FORT WORTH,TX,76110-3051,Owned,Post Office,Station,3/1/1999,"22,199"
TEXAS 1,FORT WORTH,ARLINGTON HGTS,3101 W 6TH ST,TARRANT,FORT WORTH,TX,76107-2778,Owned,Post Office,Finance Station,9/27/2008,"5,007"
TEXAS 1,FORT WORTH,CITY VIEW STATION,7101 BRYANT IRVIN RD,TARRANT,FORT WORTH,TX,76132-4135,Owned,Post Office,Station,9/1/2001,"17,819"
TEXAS 1,FORT WORTH,DOWNTOWN STATION,251 W LANCASTER AVE,TARRANT,FORT WORTH,TX,76102-9997,Owned,Post Office,Station,7/1/1935,"206,856"
TEXAS 1,FORT WORTH,DOWNTOWN STATION,251 W LANCASTER AVE,TARRANT,FORT WORTH,TX,76102-9997,Owned,Administrative Office,Postal Inspection Service Field Division (USPIS),7/1/1935,"206,856"
TEXAS 1,FORT WORTH,GLENCREST STATION,5125 WICHITA ST,TARRANT,FORT WORTH,TX,76119-9998,Owned,Post Office,Station,4/1/1976,"12,179"
TEXAS 1,FORT WORTH,HALTOM CITY BRANCH,5709 BROADWAY AVE,TARRANT,HALTOM CITY,TX,76117-3325,Owned,Post Office,Branch,1/1/1976,"11,421"
TEXAS 1,FORT WORTH,JACK WATSON VMF,4600 MARK IV PKWY,TARRANT,FORT WORTH,TX,76161-9998,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),8/1/1986,"15,756"
TEXAS 1,FORT WORTH,LAKE WORTH BRANCH,3930 TELEPHONE RD,TARRANT,FORT WORTH,TX,76135-9998,Owned,Post Office,Branch,12/1/1988,"11,463"
TEXAS 1,FORT WORTH,NO RICHLAND HILLS BR,6051 DAVIS BLVD,TARRANT,NORTH RICHLAND HILLS,TX,76180-6385,Owned,Post Office,Branch,9/1/1989,"26,302"
TEXAS 1,FORT WORTH,OAKS BRANCH,1008 ROBERTS CUT OFF RD,TARRANT,RIVER OAKS,TX,76114-9998,Owned,Post Office,Branch,12/1/1998,"8,019"
TEXAS 1,FORT WORTH,P&DC,4600 MARK IV PKWY,TARRANT,FORT WORTH,TX,76161-9997,Owned,Post Office,Main Post Office,8/1/1986,"470,161"
TEXAS 1,FORT WORTH,P&DC,4600 MARK IV PKWY,TARRANT,FORT WORTH,TX,76161-9997,Owned,Post Office,Finance Station,8/1/1986,"470,161"
TEXAS 1,FORT WORTH,P&DC,4600 MARK IV PKWY,TARRANT,FORT WORTH,TX,76161-9997,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),8/1/1986,"470,161"
TEXAS 1,FORT WORTH,P&DC,4600 MARK IV PKWY,TARRANT,FORT WORTH,TX,76161-9997,Owned,Network Facilities,Logistics (LOG),8/1/1986,"470,161"
TEXAS 1,FORT WORTH,POLYTEC STATION,4650 E ROSEDALE ST,TARRANT,FORT WORTH,TX,76105-1800,Owned,Post Office,Station,2/1/1981,"19,382"
TEXAS 1,FORT WORTH,POLYTECH STATION STORAGE,4650 E ROSEDALE ST,TARRANT,FORT WORTH,TX,76105-9998,Owned,,,2/1/1981,"3,000"
TEXAS 1,FORT WORTH,RIDGLEA STATION,3020 CHERRY LN,TARRANT,FORT WORTH,TX,76116-3944,Owned,Post Office,Station,9/1/1987,"19,016"
TEXAS 1,FORT WORTH,SEMINARY HILL STA,1001 ALTAMESA BLVD,TARRANT,FORT WORTH,TX,76134-3411,Owned,Post Office,Station,5/1/2001,"16,206"
TEXAS 1,FORT WORTH,TRINITY RIVER STATION,4450 OAK PARK LN,TARRANT,FORT WORTH,TX,76109-9998,Owned,Post Office,Station,8/1/1987,"23,477"
TEXAS 1,FORT WORTH,WEDGEWOOD STATION STORAGE,3701 ALTAMESA BLVD,TARRANT,FORT WORTH,TX,76161-9341,Owned,,,3/1/1984,"4,800"
TEXAS 1,FORT WORTH,WEDGWOOD STATION,3701 ALTAMESA BLVD,TARRANT,FORT WORTH,TX,76133-5649,Owned,Post Office,Station,3/1/1984,"17,024"
TEXAS 1,FORT WORTH,WHITE SETTLEMENT BR,301 N LAS VEGAS TRL,TARRANT,FORT WORTH,TX,76108-1500,Owned,Post Office,Branch,8/1/1988,"18,233"
TEXAS 2,FRANCITAS,MPO/MODULAR BLDG,66 BRYAN ST,JACKSON,FRANCITAS,TX,77961-9800,Owned,Post Office,Remotely Managed Post Office (RMPO),1/1/1997,736
TEXAS 2,FRED,MAIN OFFICE,20239 FM 92 S,TYLER,FRED,TX,77616-0017,Owned,Post Office,Remotely Managed Post Office (RMPO),9/1/1979,"1,400"
TEXAS 3,FREDERICKSBURG,MAIN OFFICE,1150 N US HIGHWAY 87,GILLESPIE,FREDERICKSBURG,TX,78624-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1999,"22,504"
TEXAS 2,FREEPORT,MAIN OFFICE,924 N AVENUE F,BRAZORIA,FREEPORT,TX,77541-9998,Owned,Post Office,Main Post Office,5/5/2008,"8,995"
TEXAS 2,FRESNO,MAIN OFFICE,4725 TEAL BEND BLVD,FORT BEND,FRESNO,TX,77545-9998,Owned,Post Office,Main Post Office,9/1/2009,"6,309"
TEXAS 2,FRIENDSWOOD,MAIN OFFICE,310 MORNINGSIDE DR,GALVESTON,FRIENDSWOOD,TX,77546-9998,Owned,Post Office,Main Post Office,9/1/1981,"12,016"
TEXAS 1,FRISCO,EAST FRISCO CARRIER ANNEX,12580 ROLATER RD,COLLIN,FRISCO,TX,75035-9997,Owned,Post Office,Carrier Annex (ANX),,"9,649"
TEXAS 1,FRISCO,MAIN OFFICE,8700 STONEBROOK PKWY,COLLIN,FRISCO,TX,75034-9998,Owned,Post Office,Main Post Office,7/1/1996,"19,193"
TEXAS 1,GAINESVILLE,MAIN OFFICE,321 E CALIFORNIA ST,COOKE,GAINESVILLE,TX,76240-9998,Owned,Post Office,Main Post Office,3/1/1959,"23,736"
TEXAS 2,GALVESTON,BOB LYONS STA,5826 BROADWAY ST,GALVESTON,GALVESTON,TX,77551-9998,Owned,Post Office,Station,11/1/1996,"21,613"
TEXAS 1,GARLAND,DALLAS AUX VMF,936 W WALNUT ST,DALLAS,GARLAND,TX,75040-9996,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),11/1/1987,"11,921"
TEXAS 1,GARLAND,MAIN OFFICE,1000 W WALNUT ST,DALLAS,GARLAND,TX,75040-9998,Owned,Post Office,Main Post Office,6/1/1976,"37,085"
TEXAS 1,GARLAND,NORTH STATION,2346 BELT LINE RD,DALLAS,GARLAND,TX,75044-9998,Owned,Post Office,Station,9/1/1988,"25,387"
TEXAS 1,GARLAND,SOUTH STATION,501 E OATES RD,DALLAS,GARLAND,TX,75043-9998,Owned,Post Office,Station,11/1/1988,"24,374"
TEXAS 1,GARLAND,SOUTH STATION,501 E OATES RD,DALLAS,GARLAND,TX,75043-9998,Owned,Post Office,Carrier Annex (ANX),11/1/1988,"24,374"
TEXAS 3,GATESVILLE,MAIN OFFICE,802 E LEON ST,CORYELL,GATESVILLE,TX,76528-9998,Owned,Post Office,Administrative Post Office (APO),4/1/1937,"9,567"
TEXAS 3,GEORGETOWN,MAIN OFFICE,2300 SCENIC DR,WILLIAMSON,GEORGETOWN,TX,78626-9998,Owned,Post Office,Administrative Post Office (APO),2/1/1989,"25,889"
TEXAS 3,GIDDINGS,MAIN OFFICE,279 E AUSTIN ST,LEE,GIDDINGS,TX,78942-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1938,"6,297"
TEXAS 1,GILMER,MAIN OFFICE,405 N CYPRESS ST,UPSHUR,GILMER,TX,75644-9998,Owned,Post Office,Main Post Office,9/1/1991,"15,171"
TEXAS 3,GIRARD,MPO/MODULAR BLDG,1485 STATE HIGHWAY 70,KENT,GIRARD,TX,79518-9998,Owned,Post Office,Part Time Post Office (PTPO),6/1/2000,750
TEXAS 1,GLADEWATER,MAIN OFFICE,101 N DEAN ST,GREGG,GLADEWATER,TX,75647-9998,Owned,Post Office,Main Post Office,6/1/1941,"9,432"
TEXAS 1,GOBER,MPO/MODULAR BLDG,4672 FM 68,FANNIN,GOBER,TX,75443-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),12/1/1997,720
TEXAS 1,GODLEY,MAIN OFFICE,100 S MAIN ST,JOHNSON,GODLEY,TX,76044-9998,Owned,Post Office,Main Post Office,5/1/1961,"1,902"
TEXAS 3,GONZALES,MAIN OFFICE,920 N SAINT JOSEPH ST STE 105,GONZALES,GONZALES,TX,78629-9998,Owned,Post Office,Administrative Post Office (APO),7/1/1987,"11,288"
TEXAS 1,GRAHAM,MAIN OFFICE,100 TENNESSEE ST,YOUNG,GRAHAM,TX,76450-2243,Owned,Post Office,Administrative Post Office (APO),7/1/1993,"17,074"
TEXAS 1,GRANBURY,ACTON BRANCH,5561 N GATE RD,HOOD,GRANBURY,TX,76049-9998,Owned,Post Office,Branch,10/1/1997,"17,116"
TEXAS 1,GRANBURY,MAIN OFFICE,530 N CROCKETT ST,HOOD,GRANBURY,TX,76048-9998,Owned,Post Office,Administrative Post Office (APO),4/1/1982,"8,048"
TEXAS 1,GRAND PRAIRIE,MAIN OFFICE,802 S CARRIER PKWY,DALLAS,GRAND PRAIRIE,TX,75051-9998,Owned,Post Office,Main Post Office,9/1/1977,"26,924"
TEXAS 1,GRAND PRAIRIE,WESTCHESTER STATION,765 W WESTCHESTER PKWY,DALLAS,GRAND PRAIRIE,TX,75052-9998,Owned,Post Office,Station,6/1/1990,"25,279"
TEXAS 1,GRAPEVINE,MAIN OFFICE,1251 WILLIAM D TATE AVE,TARRANT,GRAPEVINE,TX,76051-9998,Owned,Post Office,Main Post Office,5/1/1985,"15,223"
TEXAS 1,GRAPEVINE,SOUTHLAKE BRANCH,300 STATE ST,TARRANT,SOUTHLAKE,TX,76092-9998,Owned,Post Office,Branch,11/1/2000,"20,700"
TEXAS 1,GREENVILLE,CARRIER ANNEX,3701 STANFORD ST,HUNT,GREENVILLE,TX,75401-9997,Owned,Post Office,Main Post Office,8/27/2005,"26,735"
TEXAS 1,GREENVILLE TX,MAIN OFFICE RETAIL UNIT,2600 WESLEY ST,HUNT,GREENVILLE,TX,75401-9994,Owned,Post Office,Finance Station - No Delivery,8/13/2009,"4,527"
TEXAS 1,GROESBECK,MAIN OFFICE,112 S DR J B RIGGS DR,LIMESTONE,GROESBECK,TX,76642-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1938,"6,600"
TEXAS 3,HAMILTON,MAIN OFFICE,120 S RICE ST,HAMILTON,HAMILTON,TX,76531-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1940,"7,568"
TEXAS 2,HAMSHIRE,MAIN OFFICE,25142 HIGHWAY 124,JEFFERSON,HAMSHIRE,TX,77622-0015,Owned,Post Office,Main Post Office,5/1/1981,"1,034"
