NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,zip code tabulation area
ZCTA5 20708,18390,451,19,0,0,41,0,19,0,120,0,166,108,298,82,534,4121,416,1181,2235,1404,4092,2278,301,524,20708
ZCTA5 20710,5674,295,10,0,0,0,0,68,174,40,0,29,102,83,99,117,1845,396,180,853,356,702,252,34,39,20710
ZCTA5 20711,5389,350,0,0,0,0,0,0,0,0,58,16,17,58,206,78,1231,78,315,727,230,1364,574,41,46,20711
ZCTA5 20712,6838,136,0,0,14,9,47,47,91,198,44,115,195,183,87,62,1478,203,317,1022,196,1308,614,150,322,20712
ZCTA5 20714,2838,46,0,0,0,0,0,0,0,0,0,0,0,0,56,0,550,124,281,345,200,832,339,30,35,20714
ZCTA5 20715,18340,185,0,9,0,28,6,0,5,58,15,75,138,92,148,328,3314,405,1255,2089,1283,4497,3535,404,471,20715
ZCTA5 20716,16283,242,9,12,0,0,0,0,20,29,0,51,139,151,93,349,2919,243,1058,1937,1026,4191,2993,416,405,20716
ZCTA5 20720,16930,193,0,0,0,26,40,12,6,0,23,36,115,93,19,174,2288,537,653,1829,946,4717,3558,885,780,20720
ZCTA5 20721,23433,104,19,0,0,0,1,0,0,46,2,61,31,79,123,364,2822,364,1515,2888,1322,6525,5201,1084,882,20721
ZCTA5 20722,4386,274,7,41,0,21,24,20,41,107,132,79,148,241,77,110,855,118,166,529,249,621,353,77,96,20722
ZCTA5 20723,24846,901,0,0,0,20,139,28,10,211,16,153,188,64,164,274,3518,284,871,2221,1423,7483,5049,899,930,20723
ZCTA5 20724,13060,610,0,0,0,0,0,0,0,0,95,43,8,32,123,143,2878,133,820,1665,623,3443,1822,307,315,20724
ZCTA5 20732,7662,68,0,0,0,0,0,0,0,0,0,9,121,95,46,92,1573,161,779,868,465,1702,1125,256,302,20732
ZCTA5 20733,1850,10,0,0,0,0,0,0,0,0,0,0,0,17,12,15,471,57,178,247,155,462,111,52,63,20733
ZCTA5 20735,28585,993,0,0,5,32,23,0,14,434,122,54,264,170,178,632,7627,1052,2309,3600,1682,5579,3253,188,374,20735
ZCTA5 20736,6731,14,0,0,0,0,0,0,0,0,25,39,40,51,37,81,1520,96,382,724,733,1832,1015,38,104,20736
ZCTA5 20737,14791,1064,8,22,148,150,201,207,341,824,146,267,702,248,146,404,3211,374,693,1239,939,1982,1132,162,181,20737
ZCTA5 20740,17624,900,0,0,0,0,68,0,344,198,51,88,267,226,124,229,2634,291,603,1660,1109,4712,2851,348,921,20740
ZCTA5 20742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20742
ZCTA5 20743,28017,1244,0,0,0,0,71,16,173,135,331,150,488,431,566,850,9247,1206,1901,3642,1043,4372,1850,142,159,20743
ZCTA5 20744,40495,1165,6,42,139,0,103,235,153,385,65,125,167,153,334,807,7930,1556,2977,6560,2574,8680,5025,755,559,20744
ZCTA5 20745,20313,644,0,1,91,0,0,64,8,707,9,354,255,117,381,668,5248,575,1871,2621,1040,3468,1693,303,195,20745
ZCTA5 20746,21268,275,0,0,0,5,43,6,0,29,0,54,149,108,394,472,7478,845,1659,2840,1369,3533,1581,200,228,20746
ZCTA5 20747,26651,410,0,10,0,0,0,0,61,62,49,66,277,204,434,1025,8368,1055,2296,3926,1478,4609,1942,163,216,20747
ZCTA5 20748,29166,337,0,1,0,235,11,86,21,125,79,20,347,257,179,911,9108,978,2509,3918,1341,5139,2516,571,477,20748
ZCTA5 20751,2046,13,0,0,0,0,0,0,0,0,0,0,0,21,11,20,508,50,196,275,111,407,334,69,31,20751
ZCTA5 20754,4941,18,0,0,0,0,0,0,0,0,0,0,37,44,109,69,1100,99,329,384,285,1494,615,222,136,20754
ZCTA5 20755,5630,70,0,0,0,0,0,0,0,0,0,6,6,0,14,134,379,48,278,1224,647,1851,886,46,41,20755
ZCTA5 20758,533,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,163,11,50,69,41,91,53,33,0,20758
ZCTA5 20759,4386,26,0,0,0,0,0,0,0,18,0,0,0,1,1,54,152,56,86,208,112,1311,1352,560,449,20759
ZCTA5 20762,1532,58,0,0,0,0,0,0,0,0,0,0,0,5,0,0,120,20,123,402,267,305,160,58,14,20762
ZCTA5 20763,1839,0,0,0,0,0,0,0,0,61,72,0,0,0,0,66,433,48,76,140,50,457,304,56,76,20763
ZCTA5 20764,2268,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,490,147,126,674,56,388,254,31,77,20764
ZCTA5 20765,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,207,0,20,53,53,91,95,10,0,20765
ZCTA5 20769,5053,161,0,0,0,0,0,0,0,0,0,0,89,0,67,107,1026,13,98,377,444,1286,1012,315,58,20769
ZCTA5 20770,19157,518,37,0,39,0,129,38,0,176,35,143,140,192,174,455,3754,518,1416,1741,1612,4253,2573,357,857,20770
ZCTA5 20771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20771
ZCTA5 20772,39343,569,0,0,0,42,53,21,49,64,41,198,157,144,330,683,7302,1084,2550,4874,2934,10619,6082,900,647,20772
ZCTA5 20774,38602,380,0,0,25,0,12,0,53,130,181,43,240,231,183,520,6451,628,2169,7136,2645,8788,6491,1264,1032,20774
ZCTA5 20776,2222,0,0,0,0,0,0,0,0,0,0,1,0,57,62,19,471,182,116,156,247,469,350,34,58,20776
ZCTA5 20777,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,229,0,79,107,106,537,482,362,266,20777
ZCTA5 20778,1435,13,0,0,0,0,0,0,0,0,0,0,0,9,0,0,376,0,48,195,78,251,310,149,6,20778
ZCTA5 20779,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,85,10,86,122,103,190,32,37,42,20779
ZCTA5 20781,8896,384,0,0,17,1,86,20,0,345,10,123,226,177,102,112,1538,63,289,1270,330,1488,1483,360,472,20781
ZCTA5 20782,24852,1329,0,8,58,99,88,544,85,606,260,383,599,160,340,589,5443,333,873,2223,1350,4697,3173,796,816,20782
ZCTA5 20783,31421,2367,40,34,719,294,1439,533,690,3569,577,381,1318,405,491,734,6480,524,712,1892,1924,3712,1692,501,393,20783
ZCTA5 20784,22566,2020,15,35,36,136,197,155,87,528,193,130,394,121,436,917,6464,900,1285,2607,1250,3167,1262,113,118,20784
ZCTA5 20785,26125,1207,0,0,6,58,96,0,20,68,54,56,329,333,537,563,7366,935,1442,3587,1567,4600,2415,501,385,20785
ZCTA5 20794,12625,233,0,0,0,88,0,0,0,26,8,236,239,477,387,177,2979,1232,400,1747,685,2005,1451,53,202,20794
ZCTA5 20812,189,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,3,2,1,5,16,58,57,28,12,20812
ZCTA5 20814,23676,132,0,0,0,0,0,0,0,33,8,19,24,53,48,164,943,152,370,1054,631,6788,6963,3287,3007,20814
ZCTA5 20815,21892,93,0,0,3,0,0,72,57,98,13,30,8,84,36,199,811,133,212,997,508,5684,6137,4405,2312,20815
ZCTA5 20816,11754,58,0,0,0,0,0,0,47,56,0,0,0,50,7,49,218,42,54,550,223,3647,3776,2007,970,20816
ZCTA5 20817,25850,155,0,0,0,83,9,22,6,26,12,72,0,36,5,59,1109,104,388,1016,616,7352,7296,4214,3270,20817
ZCTA5 20818,1132,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,76,15,0,50,0,235,415,134,194,20818
ZCTA5 20832,16832,301,5,2,0,0,0,16,0,6,0,14,14,47,113,142,2034,57,775,1542,1029,5709,3457,755,814,20832
ZCTA5 20833,5259,17,0,0,0,0,0,0,0,9,0,0,0,0,25,33,578,153,275,383,377,1730,1164,294,221,20833
ZCTA5 20837,4774,195,0,0,0,0,0,0,0,21,0,21,66,0,66,60,482,71,198,619,251,1559,793,283,89,20837
ZCTA5 20838,169,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,13,0,5,6,7,68,39,16,8,20838
ZCTA5 20839,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,28,56,0,0,20839
ZCTA5 20841,7222,199,44,0,0,0,0,26,17,0,0,31,12,100,35,192,991,381,242,451,200,2005,1390,267,639,20841
ZCTA5 20842,1668,13,0,0,0,0,0,0,0,5,0,15,31,16,20,11,319,33,71,210,56,417,236,127,88,20842
ZCTA5 20850,37359,616,7,0,60,45,8,5,15,40,43,343,81,190,200,454,2919,350,1209,3240,2315,10815,8541,2168,3695,20850
ZCTA5 20851,10649,471,0,0,8,0,100,22,62,75,7,103,251,54,128,373,1590,516,435,803,735,2555,1409,247,705,20851
ZCTA5 20852,35302,644,0,62,0,0,28,14,10,109,24,189,139,121,159,472,2286,384,1079,2046,1124,10670,8431,3224,4087,20852
ZCTA5 20853,22122,934,12,36,52,0,77,12,234,197,37,71,172,55,380,296,3633,362,711,2236,1506,5353,3743,947,1066,20853
ZCTA5 20854,34860,378,12,0,0,0,10,0,18,12,50,67,76,68,69,248,1106,167,430,1410,861,10125,10171,5567,4015,20854
ZCTA5 20855,12735,226,0,0,0,0,0,3,0,76,37,60,1,18,11,104,1045,183,624,1250,590,4153,2547,842,965,20855
ZCTA5 20860,1465,45,0,0,0,0,0,0,8,0,0,0,184,0,29,8,102,41,8,144,61,399,197,108,131,20860
ZCTA5 20861,2027,0,0,0,0,0,0,0,0,14,0,0,0,35,0,0,143,23,22,124,97,516,621,362,70,20861
ZCTA5 20862,391,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,0,21,20,33,72,100,12,53,20862
ZCTA5 20866,11238,330,0,0,0,0,0,0,22,11,67,232,119,82,73,297,1966,212,610,1127,1023,2705,1731,336,295,20866
ZCTA5 20868,164,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,13,17,46,37,0,12,15,20868
ZCTA5 20871,19601,355,0,18,0,0,72,53,11,16,0,10,110,105,99,110,1970,168,517,1220,1426,6939,4312,888,1202,20871
ZCTA5 20872,9658,399,0,0,0,0,24,0,0,37,2,6,0,31,90,318,1740,38,665,1210,815,2622,1355,102,204,20872
ZCTA5 20874,43141,1128,16,56,10,11,3,23,27,90,105,167,366,443,248,1366,6975,1124,2276,4699,2908,11118,7378,1023,1581,20874
ZCTA5 20876,17173,468,0,0,0,0,76,0,66,224,59,9,323,113,91,527,2367,236,815,1718,1159,4503,3120,647,652,20876
ZCTA5 20877,25611,2052,60,0,176,556,200,82,174,992,225,116,586,333,267,734,4744,523,1362,2598,1271,4869,2764,353,574,20877
ZCTA5 20878,46351,711,0,0,9,24,44,28,16,113,42,76,150,81,215,378,4526,376,1148,3599,2212,16233,10450,2175,3745,20878
ZCTA5 20879,17278,499,5,0,0,0,37,0,39,100,1,78,135,110,127,489,3365,328,584,2287,1356,4470,2277,475,516,20879
ZCTA5 20880,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,3,37,34,9,190,117,22,55,20880
ZCTA5 20882,9914,256,6,50,8,0,0,0,10,10,0,0,43,97,31,97,1218,110,351,1083,631,2943,2069,430,471,20882
ZCTA5 20886,24138,997,46,0,0,13,0,38,105,262,133,89,110,251,145,674,4714,422,1127,2824,1744,5577,3624,554,689,20886
ZCTA5 20889,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,79,26,36,0,0,21,20889
ZCTA5 20892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20892
ZCTA5 20894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20894
ZCTA5 20895,13062,166,23,0,0,0,3,0,35,0,3,38,53,34,12,59,1251,139,303,717,515,3755,3243,1411,1302,20895
ZCTA5 20896,640,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,7,24,28,180,215,90,80,20896
ZCTA5 20899,57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,17,0,0,0,0,0,0,20899
ZCTA5 20901,25393,738,0,10,18,22,134,188,90,267,46,141,357,128,184,331,3019,288,797,1943,1805,6611,5222,1332,1722,20901
ZCTA5 20902,36171,1243,0,73,78,94,363,229,118,932,282,390,712,358,272,1049,5022,382,1418,4346,1721,7779,5867,1741,1702,20902
ZCTA5 20903,15130,1413,0,11,92,178,53,299,322,762,243,322,465,226,110,496,3555,270,370,1030,803,2421,1061,367,261,20903
ZCTA5 20904,40255,1147,8,32,0,16,161,0,143,153,99,215,198,326,381,1178,6885,543,2084,3941,2513,10315,6960,1403,1554,20904
ZCTA5 20905,13246,222,0,0,0,0,0,32,0,77,40,23,21,12,8,48,1927,339,637,1285,1034,3718,2639,530,654,20905
ZCTA5 20906,49529,1462,29,34,0,80,276,177,271,763,228,851,590,484,304,1104,10651,855,1886,5015,3411,11137,6260,1814,1847,20906
ZCTA5 20910,34443,193,0,38,18,0,64,100,4,87,0,56,58,56,87,505,2811,378,1009,2282,1340,11087,9260,2343,2667,20910
ZCTA5 20912,17091,423,0,0,0,23,49,219,172,388,233,101,223,31,135,251,2871,273,455,1394,1013,3400,3746,804,887,20912
ZCTA5 21001,19049,108,16,0,0,0,0,0,6,55,0,73,249,375,241,198,5162,820,1455,2641,2285,3262,1768,248,87,21001
ZCTA5 21005,1580,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,218,17,109,254,99,519,300,19,34,21005
ZCTA5 21009,23406,118,0,0,8,0,0,0,0,47,54,1,54,144,82,374,4820,818,1715,3647,1857,5887,3018,364,398,21009
ZCTA5 21010,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,6,53,2,0,21010
ZCTA5 21012,15275,20,0,0,0,0,0,0,0,27,0,18,43,44,108,46,1663,316,797,2239,1164,4918,3036,412,424,21012
ZCTA5 21013,3806,14,0,0,0,0,0,0,0,0,17,0,15,89,23,13,583,74,211,362,272,1095,737,258,43,21013
ZCTA5 21014,27246,288,12,6,0,0,0,0,8,0,75,64,31,116,334,440,5542,828,2032,2217,2399,7254,4545,469,586,21014
ZCTA5 21015,20144,91,3,0,0,0,18,0,6,18,0,35,56,130,75,254,3586,433,905,1997,1778,6090,3616,525,528,21015
ZCTA5 21017,4934,12,0,0,0,0,0,0,0,0,0,10,0,0,85,42,1004,187,345,732,583,1278,538,19,99,21017
ZCTA5 21023,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,5,0,0,21023
ZCTA5 21028,2202,11,0,0,0,0,0,0,10,0,0,22,1,9,5,26,465,133,49,287,92,527,381,93,91,21028
ZCTA5 21029,8804,32,0,0,0,0,0,0,0,0,0,11,9,0,0,69,494,47,263,364,351,2833,2326,1200,805,21029
ZCTA5 21030,18412,582,0,0,0,92,0,25,38,48,33,17,280,93,118,149,3595,283,1140,1553,834,5582,2602,1022,326,21030
ZCTA5 21031,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,21031
ZCTA5 21032,6567,33,0,0,0,0,0,0,5,0,0,42,18,37,17,41,1394,125,486,816,188,2016,1001,237,111,21032
ZCTA5 21034,2061,65,0,0,0,0,0,0,0,0,2,95,8,44,39,11,650,171,133,218,155,250,195,20,5,21034
ZCTA5 21035,5670,0,11,0,0,0,0,0,0,0,0,0,25,7,27,41,969,129,381,533,270,1788,909,391,189,21035
ZCTA5 21036,1808,24,0,0,0,0,0,0,0,0,0,14,0,0,18,6,104,34,82,151,86,698,437,78,76,21036
ZCTA5 21037,14895,76,0,0,0,0,0,0,0,56,2,10,183,127,85,136,3023,524,1007,1689,1022,4076,2139,432,308,21037
ZCTA5 21040,16550,71,0,1,0,43,0,0,0,87,0,0,123,45,245,249,4971,1117,1592,3036,1195,1984,1272,308,211,21040
ZCTA5 21042,29989,282,0,0,0,0,1,23,62,37,99,27,45,46,2,263,2520,363,1011,1666,1667,9443,7825,2031,2576,21042
ZCTA5 21043,32750,675,15,9,0,0,61,37,82,221,0,80,122,49,104,519,3530,287,1195,2763,1971,9909,7859,1487,1775,21043
ZCTA5 21044,32212,535,0,0,0,28,25,42,22,83,0,60,1,50,115,276,2646,500,1541,2724,1681,10016,8520,1394,1953,21044
ZCTA5 21045,28016,469,20,5,0,91,64,0,12,243,11,246,102,90,83,268,3786,415,1045,3136,2075,7203,5932,1287,1433,21045
ZCTA5 21046,10236,49,0,0,0,0,0,0,0,9,8,19,0,11,0,154,1218,159,281,1048,968,2920,2620,265,507,21046
ZCTA5 21047,9518,16,0,0,0,0,0,0,0,0,0,0,31,36,14,74,1427,127,714,1098,747,3147,1741,164,182,21047
ZCTA5 21048,7353,27,0,0,16,0,0,14,0,0,0,26,15,33,37,9,1734,392,395,635,542,2190,967,189,132,21048
ZCTA5 21050,12143,73,0,0,0,0,0,0,14,47,14,83,25,127,43,102,2379,175,673,1486,1429,3178,1724,315,256,21050
ZCTA5 21051,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,42,17,5,29,18,0,0,21051
ZCTA5 21052,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,93,0,0,47,0,74,0,0,12,21052
ZCTA5 21053,2131,2,0,0,0,0,0,0,0,0,0,0,67,13,10,15,527,55,133,248,248,470,236,70,37,21053
ZCTA5 21054,10369,43,0,0,0,0,0,0,0,24,134,13,0,140,3,331,1242,97,498,811,690,3511,2377,245,210,21054
ZCTA5 21056,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,223,35,13,0,21056
ZCTA5 21057,3003,0,0,0,0,0,0,0,0,1,0,29,3,46,20,76,404,13,306,244,239,893,573,59,97,21057
ZCTA5 21060,28039,538,0,20,0,0,8,9,111,156,43,142,321,334,556,323,7445,926,1890,3864,1983,5480,3178,456,256,21060
ZCTA5 21061,39289,1404,0,4,0,9,35,0,19,95,30,232,414,644,678,1178,11236,1490,2883,6188,2941,6215,3142,182,270,21061
ZCTA5 21071,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,15,0,100,86,45,9,21071
ZCTA5 21074,10590,56,0,0,0,0,2,0,0,9,1,54,43,106,27,135,2890,321,764,1305,1034,2501,1011,160,171,21074
ZCTA5 21075,24217,444,0,0,0,0,37,43,19,72,55,29,69,82,168,279,3015,350,989,2586,1462,7945,5087,792,694,21075
ZCTA5 21076,17369,241,0,0,0,0,10,0,53,53,0,8,59,65,109,110,2280,119,766,2047,1458,5688,3439,417,447,21076
ZCTA5 21077,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,11,17,0,0,21077
ZCTA5 21078,14994,119,0,0,0,0,0,0,0,0,26,47,114,209,189,277,2880,618,1030,1698,1548,3073,2550,360,256,21078
ZCTA5 21082,481,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,44,3,47,30,84,135,119,11,0,21082
ZCTA5 21084,5149,25,0,0,0,0,0,0,0,0,33,0,0,23,0,50,1078,118,465,589,560,1447,735,13,13,21084
ZCTA5 21085,12700,150,0,0,0,0,0,0,0,18,0,72,27,288,166,275,3410,546,1199,1524,1062,2450,1065,175,273,21085
ZCTA5 21087,4151,9,0,0,0,0,0,0,0,0,0,16,0,41,15,136,972,152,229,474,217,1112,619,109,50,21087
ZCTA5 21090,7214,53,0,0,0,0,0,13,31,7,0,11,19,63,100,84,1282,154,633,1086,589,1591,1118,138,242,21090
ZCTA5 21093,28594,229,0,8,0,20,34,15,39,96,77,85,32,214,70,363,2481,275,861,2286,1491,10209,6356,2092,1261,21093
ZCTA5 21102,8721,30,9,0,0,0,0,0,0,8,0,9,36,6,34,51,2512,300,902,1066,735,2067,751,121,84,21102
ZCTA5 21104,4298,25,0,0,0,0,0,0,0,0,0,0,13,0,0,18,548,106,252,395,174,1638,824,215,90,21104
ZCTA5 21105,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,14,0,0,0,21105
ZCTA5 21108,12860,45,0,0,0,0,0,0,0,22,11,43,15,12,38,161,2132,172,694,1642,766,4394,2059,406,248,21108
ZCTA5 21111,3447,0,0,25,0,0,0,0,0,0,0,0,0,0,0,9,353,28,110,391,335,1233,645,237,81,21111
ZCTA5 21113,25406,143,0,0,0,0,0,0,0,60,49,0,23,41,97,175,3598,338,1282,4095,1657,7088,5516,839,405,21113
ZCTA5 21114,16612,69,0,0,0,0,0,0,0,16,13,0,40,32,66,30,1807,76,749,1896,1353,5712,3726,436,591,21114
ZCTA5 21117,42270,288,19,0,0,0,1,14,11,120,22,59,110,259,354,896,5784,1282,2641,5611,3332,11248,8036,1493,690,21117
ZCTA5 21120,5192,0,0,0,0,0,0,0,0,26,0,0,59,12,6,33,644,112,238,360,369,1806,1171,229,127,21120
ZCTA5 21122,44111,357,64,49,0,0,15,39,0,81,141,100,498,573,624,620,11274,1970,3544,6557,3737,8177,4289,912,490,21122
ZCTA5 21128,10780,126,4,0,0,0,0,0,76,18,148,43,17,13,22,142,1495,313,494,1325,637,3345,2073,205,284,21128
ZCTA5 21130,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,21130
ZCTA5 21131,5254,30,18,0,0,0,0,0,0,0,0,5,0,10,7,8,649,24,83,248,291,2000,1217,471,193,21131
ZCTA5 21132,2179,10,0,0,0,0,0,0,0,0,0,0,0,59,0,0,607,63,137,372,119,404,309,29,70,21132
ZCTA5 21133,23133,446,0,0,5,0,3,118,0,7,56,95,104,292,249,764,5213,712,1908,3833,1618,4319,2825,239,327,21133
ZCTA5 21136,23753,306,0,1,0,0,0,0,0,47,96,88,174,274,175,485,3712,371,1275,2315,1458,6743,3767,1946,520,21136
ZCTA5 21140,3174,40,0,0,0,0,0,0,0,0,0,0,9,0,0,0,581,26,188,403,363,849,499,167,49,21140
ZCTA5 21144,25770,575,0,33,0,0,0,36,27,20,1,16,127,254,121,422,5792,598,1958,2780,1799,6223,4102,623,263,21144
ZCTA5 21146,19017,179,0,0,0,0,2,0,0,0,15,36,101,59,164,101,2715,321,793,1883,1207,5667,4257,842,675,21146
ZCTA5 21152,4555,8,0,0,0,0,0,0,0,2,0,0,0,2,0,9,540,165,190,546,524,1490,621,291,167,21152
ZCTA5 21153,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,33,13,88,108,110,29,21153
ZCTA5 21154,4926,24,0,0,0,0,0,0,0,0,0,6,27,95,65,4,1652,239,216,725,497,1064,233,57,22,21154
ZCTA5 21155,2095,13,0,0,0,0,0,0,12,0,6,12,0,0,15,32,606,92,91,160,145,609,273,10,19,21155
ZCTA5 21156,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,12,0,24,41,16,0,21156
ZCTA5 21157,27330,162,0,0,0,0,4,0,64,34,84,175,198,248,234,490,6929,1017,2295,2923,2105,6365,3041,324,638,21157
ZCTA5 21158,15773,88,0,0,0,0,0,0,0,28,3,47,148,83,181,360,4332,397,1178,2039,1191,3661,1541,287,209,21158
ZCTA5 21160,1998,12,0,0,0,0,0,0,0,0,0,0,16,41,113,0,598,19,203,270,276,268,162,20,0,21160
ZCTA5 21161,3598,1,0,0,0,0,0,0,0,0,0,0,0,21,0,171,914,99,313,328,336,698,598,60,59,21161
ZCTA5 21162,2981,54,0,0,0,0,0,0,0,3,10,21,13,0,29,49,462,133,242,343,312,706,487,117,0,21162
ZCTA5 21163,5105,21,0,0,0,0,0,0,0,7,1,0,14,11,7,38,540,69,208,667,291,1310,1056,467,398,21163
ZCTA5 21201,13902,127,9,0,0,0,0,0,0,0,58,23,145,43,354,364,2407,609,1246,1554,601,2830,1963,705,864,21201
ZCTA5 21202,16358,265,0,0,0,0,0,14,0,0,38,114,178,453,351,821,2326,873,959,1918,689,3182,2310,946,921,21202
ZCTA5 21204,12966,56,8,0,0,0,0,0,6,0,13,28,35,85,55,99,1018,203,366,926,592,4719,2838,1203,716,21204
ZCTA5 21205,8862,385,0,0,0,0,0,68,273,15,7,55,214,346,228,393,2875,509,464,916,646,717,412,161,178,21205
ZCTA5 21206,33884,529,23,0,0,0,8,0,73,69,38,357,574,325,516,774,9664,2088,2687,4611,2216,5900,3073,119,240,21206
ZCTA5 21207,32938,386,0,29,38,0,25,0,48,234,48,309,450,582,743,948,8673,1302,2793,3982,2692,5424,3593,435,204,21207
ZCTA5 21208,26773,199,0,0,0,0,51,33,9,77,46,16,107,265,140,445,4286,562,1836,3419,1820,6551,4369,1677,865,21208
ZCTA5 21209,19734,171,2,0,23,0,0,12,11,30,0,35,13,159,140,220,2258,336,892,1999,1464,5020,4635,1556,758,21209
ZCTA5 21210,8121,8,0,0,0,0,0,0,0,10,6,10,32,57,7,40,523,32,145,285,176,2391,2481,781,1137,21210
ZCTA5 21211,12712,137,8,0,0,0,0,0,20,0,0,67,264,276,117,84,1670,283,490,882,470,3666,2732,835,711,21211
ZCTA5 21212,22385,190,0,0,36,13,0,0,65,100,242,48,152,406,287,267,2483,924,1127,1974,1357,5242,4674,1438,1360,21212
ZCTA5 21213,19082,358,8,0,0,0,59,0,19,69,20,171,322,406,898,610,6301,1177,1794,2287,1160,1891,1267,120,145,21213
ZCTA5 21214,15275,135,0,0,0,0,14,0,14,23,0,46,97,183,128,251,3400,540,1055,2016,927,3240,2285,382,539,21214
ZCTA5 21215,36588,586,0,0,13,0,30,75,66,388,93,606,256,1029,738,1000,9367,2053,2780,5768,2219,5723,2819,658,321,21215
ZCTA5 21216,19292,526,0,0,0,0,0,0,20,11,26,169,204,460,511,475,6774,885,2197,2754,953,1934,1211,106,76,21216
ZCTA5 21217,21366,389,0,0,9,0,0,1,24,40,175,214,660,607,836,623,6177,821,1359,3090,1349,2583,1951,233,225,21217
ZCTA5 21218,28858,293,47,0,0,6,0,28,23,93,47,152,334,950,535,587,6277,1283,959,3427,925,5815,4552,1196,1329,21218
ZCTA5 21219,6818,3,0,0,0,0,0,0,0,0,72,22,42,42,241,132,2053,327,700,831,583,1105,545,83,37,21219
ZCTA5 21220,29365,854,0,2,0,29,24,0,0,133,58,197,148,373,413,810,8321,1204,2550,2991,2439,5702,2449,466,202,21220
ZCTA5 21221,30386,763,0,0,0,2,9,1,46,73,193,431,642,467,431,981,10204,1662,2736,3197,2166,3898,2040,261,183,21221
ZCTA5 21222,40245,1573,19,63,16,0,12,11,32,215,153,369,664,723,995,1715,14406,2012,3475,4726,3075,3940,1512,303,236,21222
ZCTA5 21223,13789,483,5,0,0,0,0,0,67,101,103,94,481,454,784,520,4272,932,920,1974,443,1087,864,110,95,21223
ZCTA5 21224,34752,1489,9,0,0,31,97,67,55,768,86,401,502,546,618,1191,5796,837,1272,2813,1301,8978,5461,1597,837,21224
ZCTA5 21225,21110,836,0,4,0,0,34,30,152,267,329,284,502,658,600,586,7176,1120,1137,2829,1199,1935,924,213,295,21225
ZCTA5 21226,4245,90,0,20,0,23,0,0,0,0,31,56,96,82,96,135,954,130,473,370,297,778,437,135,42,21226
ZCTA5 21227,24569,1209,50,10,0,0,26,73,81,230,202,427,373,269,300,646,6792,1202,1550,2779,1348,4201,2201,475,125,21227
ZCTA5 21228,35909,714,0,0,0,10,36,43,331,60,281,281,237,315,119,669,5487,600,1632,3615,2636,10029,6509,1356,949,21228
ZCTA5 21229,31881,454,30,0,0,0,6,0,0,205,87,272,254,519,975,527,9565,1950,2437,5037,1935,4421,2625,264,318,21229
ZCTA5 21230,24653,588,17,0,53,0,0,34,85,72,173,82,611,510,380,350,2600,837,821,2077,870,7430,4806,1391,866,21230
