NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,zip code tabulation area
ZCTA5 21502,16268,956,863,884,699,738,551,578,703,813,1229,1811,2234,1351,1100,1125,633,21502
ZCTA5 21520,787,33,48,12,10,9,58,51,1,28,148,54,76,47,88,27,97,21520
ZCTA5 21521,568,10,10,44,40,25,22,20,10,20,61,105,64,75,35,2,25,21521
ZCTA5 21523,60,0,0,11,0,0,7,7,0,0,8,17,0,10,0,0,0,21523
ZCTA5 21524,262,7,0,0,23,0,6,17,0,22,6,33,61,54,0,22,11,21524
ZCTA5 21529,291,39,21,35,0,9,20,24,0,29,16,14,28,5,25,17,9,21529
ZCTA5 21530,648,83,37,28,0,27,21,25,4,18,48,118,49,75,66,32,17,21530
ZCTA5 21531,1101,37,95,53,101,27,68,52,17,28,47,87,220,92,50,94,33,21531
ZCTA5 21532,5511,335,421,164,262,163,227,174,84,298,509,455,842,641,372,410,154,21532
ZCTA5 21536,1654,114,132,80,57,99,71,55,30,56,61,249,168,126,161,66,129,21536
ZCTA5 21538,343,5,7,7,11,13,24,37,8,9,48,17,26,93,14,5,19,21538
ZCTA5 21539,885,42,85,31,23,48,10,47,0,40,133,116,122,98,49,41,0,21539
ZCTA5 21540,35,0,0,1,0,2,7,2,3,0,0,2,8,7,0,1,2,21540
ZCTA5 21541,562,10,0,14,11,0,20,8,26,15,124,51,118,8,36,48,73,21541
ZCTA5 21542,34,17,0,0,0,0,0,0,0,4,0,8,0,2,3,0,0,21542
ZCTA5 21543,122,0,0,0,0,13,0,55,3,9,0,0,3,0,0,39,0,21543
ZCTA5 21545,709,27,21,11,9,69,37,45,28,21,81,65,70,124,60,15,26,21545
ZCTA5 21550,6100,402,213,204,243,241,311,302,292,241,323,697,690,641,298,381,621,21550
ZCTA5 21555,591,55,17,23,0,118,21,20,25,7,51,81,45,64,24,11,29,21555
ZCTA5 21557,715,147,0,47,0,69,97,24,13,8,18,97,64,37,27,67,0,21557
ZCTA5 21560,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21560
ZCTA5 21561,1107,55,24,28,34,76,37,19,51,38,73,145,113,32,87,113,182,21561
ZCTA5 21562,1256,54,119,35,38,107,78,49,38,130,70,186,84,92,50,94,32,21562
ZCTA5 21601,10525,454,356,277,291,559,325,338,308,361,629,881,1259,1089,654,1249,1495,21601
ZCTA5 21607,172,6,0,0,2,5,7,0,0,7,27,12,31,45,9,16,5,21607
ZCTA5 21610,132,0,0,3,9,1,7,4,7,5,10,6,21,26,14,11,8,21610
ZCTA5 21612,210,36,0,18,0,0,0,0,0,9,9,8,19,51,0,0,60,21612
ZCTA5 21613,7790,777,379,472,216,326,416,531,191,299,607,730,787,430,525,568,536,21613
ZCTA5 21617,3985,65,55,124,36,51,179,105,47,153,198,288,533,269,478,632,772,21617
ZCTA5 21619,2619,94,24,0,24,77,100,0,130,29,130,363,182,280,180,302,704,21619
ZCTA5 21620,5700,311,161,132,159,206,217,262,259,206,432,368,717,620,435,496,719,21620
ZCTA5 21622,195,0,12,5,0,14,7,0,26,6,12,22,32,9,12,1,37,21622
ZCTA5 21623,893,9,3,30,16,30,0,38,22,20,62,149,208,86,43,78,99,21623
ZCTA5 21624,58,4,0,0,0,6,0,6,0,0,4,1,14,4,0,19,0,21624
ZCTA5 21625,610,16,21,18,24,57,0,30,0,15,36,69,36,60,22,61,145,21625
ZCTA5 21626,86,0,0,19,18,0,0,0,0,0,3,0,0,12,9,0,25,21626
ZCTA5 21627,15,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,21627
ZCTA5 21628,127,0,0,6,0,0,0,0,20,0,23,0,0,63,6,0,9,21628
ZCTA5 21629,3688,31,224,134,150,56,89,123,170,131,325,444,580,409,114,318,390,21629
ZCTA5 21631,942,16,12,24,22,69,0,47,31,19,97,144,92,86,60,181,42,21631
ZCTA5 21632,2656,142,175,61,194,135,197,132,82,61,129,298,590,189,58,116,97,21632
ZCTA5 21634,161,11,0,0,0,0,4,32,9,0,5,18,29,11,13,9,20,21634
ZCTA5 21635,940,3,13,0,80,44,32,6,23,2,51,43,151,100,106,226,60,21635
ZCTA5 21636,422,11,33,27,13,15,13,9,14,6,10,77,50,94,16,24,10,21636
ZCTA5 21638,1916,70,25,0,64,49,17,6,12,25,89,80,224,196,316,221,522,21638
ZCTA5 21639,1743,47,17,83,55,127,197,16,107,27,158,159,176,168,169,159,78,21639
ZCTA5 21640,511,30,1,61,37,0,32,0,42,21,65,14,85,53,36,21,13,21640
ZCTA5 21641,56,1,10,2,4,0,0,3,0,0,2,11,13,3,4,1,2,21641
ZCTA5 21643,2067,124,192,41,125,50,55,92,97,68,122,262,312,223,117,143,44,21643
ZCTA5 21644,21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,21644
ZCTA5 21645,479,0,43,15,0,0,20,77,26,6,19,6,38,13,53,49,114,21645
ZCTA5 21647,153,0,0,0,0,0,2,0,0,0,0,7,32,74,0,0,38,21647
ZCTA5 21648,70,0,11,0,0,0,0,0,0,29,0,5,0,0,0,11,14,21648
ZCTA5 21649,546,15,0,9,23,37,17,20,55,17,34,53,52,132,0,69,13,21649
ZCTA5 21650,75,0,0,0,0,0,0,8,0,0,19,18,0,0,22,0,8,21650
ZCTA5 21651,884,41,10,13,0,27,28,31,24,87,34,162,78,238,43,37,31,21651
ZCTA5 21652,95,12,0,0,0,0,0,0,0,0,0,0,16,14,32,8,13,21652
ZCTA5 21653,49,12,0,0,0,0,0,0,0,0,13,0,4,14,0,0,6,21653
ZCTA5 21654,629,30,5,23,12,1,0,31,21,50,14,62,199,25,31,47,78,21654
ZCTA5 21655,1862,53,13,13,56,31,42,81,136,52,118,190,280,218,218,221,140,21655
ZCTA5 21657,522,6,4,12,24,0,84,2,5,7,22,14,40,130,78,77,17,21657
ZCTA5 21658,1404,22,68,0,50,41,38,35,0,8,78,60,115,173,166,209,341,21658
ZCTA5 21659,555,43,10,25,55,5,22,0,6,24,5,91,53,45,21,90,60,21659
ZCTA5 21660,1457,92,19,57,14,90,10,19,61,119,91,110,252,151,129,152,91,21660
ZCTA5 21661,1311,93,34,49,56,36,22,39,31,15,70,114,253,208,106,65,120,21661
ZCTA5 21662,217,0,0,0,0,4,0,1,4,0,10,32,11,34,13,28,80,21662
ZCTA5 21663,1677,84,47,34,34,40,68,26,23,67,86,177,225,122,67,212,365,21663
ZCTA5 21664,217,6,0,7,5,8,5,4,10,13,20,25,44,20,20,26,4,21664
ZCTA5 21665,109,18,4,0,0,0,0,0,0,0,13,0,20,3,12,16,23,21665
ZCTA5 21666,5555,234,77,141,32,66,317,29,126,128,69,394,549,667,482,605,1639,21666
ZCTA5 21667,160,0,0,2,31,0,0,12,0,0,0,48,14,23,5,16,9,21667
ZCTA5 21668,773,10,23,30,43,27,31,6,17,12,34,95,166,55,45,65,114,21668
ZCTA5 21669,86,0,0,0,0,0,0,5,0,0,0,12,5,29,4,6,25,21669
ZCTA5 21671,364,30,11,31,67,29,6,0,7,20,24,26,21,21,4,36,31,21671
ZCTA5 21672,72,0,9,0,0,0,19,0,0,0,0,4,13,11,0,0,16,21672
ZCTA5 21673,1203,33,65,71,54,84,0,57,13,85,79,103,159,89,86,50,175,21673
ZCTA5 21675,27,7,8,0,0,0,0,7,0,0,0,0,0,0,0,0,5,21675
ZCTA5 21676,271,0,0,9,17,17,5,4,0,7,59,23,0,48,27,5,50,21676
ZCTA5 21677,182,7,0,0,0,21,8,5,0,0,33,21,9,11,28,26,13,21677
ZCTA5 21678,789,18,11,8,38,83,0,6,0,26,105,150,65,51,61,123,44,21678
ZCTA5 21679,157,9,5,36,0,0,0,14,0,0,0,0,0,25,12,25,31,21679
ZCTA5 21701,18651,488,449,356,506,241,419,500,320,385,671,1433,2993,2245,1487,2343,3815,21701
ZCTA5 21702,18525,807,405,237,317,462,400,380,428,431,856,1734,2149,2202,1600,2348,3769,21702
ZCTA5 21703,15517,356,423,341,179,491,463,406,237,422,900,1215,1840,2142,1252,2647,2203,21703
ZCTA5 21704,6136,139,26,9,7,118,49,8,28,62,207,327,573,408,766,994,2415,21704
ZCTA5 21705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21705
ZCTA5 21710,1672,35,40,6,8,18,7,7,26,13,52,54,79,171,226,291,639,21710
ZCTA5 21711,434,86,0,0,0,7,10,15,0,8,11,26,98,80,0,45,48,21711
ZCTA5 21713,3899,81,69,98,92,169,167,169,99,106,213,281,515,272,657,435,476,21713
ZCTA5 21714,45,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,20,21714
ZCTA5 21715,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,21715
ZCTA5 21716,2924,185,56,40,21,48,6,85,105,63,240,127,320,374,237,354,663,21716
ZCTA5 21717,81,0,0,0,0,0,0,0,0,0,0,0,31,0,0,26,24,21717
ZCTA5 21718,64,2,0,2,1,0,0,0,2,8,1,8,11,5,0,8,16,21718
ZCTA5 21719,494,31,17,18,12,0,70,19,23,0,18,62,51,38,57,19,59,21719
ZCTA5 21722,2222,24,4,28,70,50,37,60,45,113,37,416,425,146,188,242,337,21722
ZCTA5 21723,232,0,0,0,0,0,0,0,0,11,46,0,15,10,14,11,125,21723
ZCTA5 21727,1673,90,41,36,63,68,61,58,17,12,42,226,186,274,110,173,216,21727
ZCTA5 21733,471,19,0,0,0,17,65,0,18,0,42,16,47,52,50,88,57,21733
ZCTA5 21734,493,13,18,6,13,24,32,17,62,11,26,57,105,12,66,10,21,21734
ZCTA5 21737,739,0,0,7,0,0,0,0,7,0,22,12,0,40,70,110,471,21737
ZCTA5 21738,1121,0,11,0,15,0,0,0,0,0,0,11,9,192,89,83,711,21738
ZCTA5 21740,25276,1505,1098,1010,1193,1360,1080,1032,880,856,2133,2124,3382,2646,1333,2176,1468,21740
ZCTA5 21742,13231,726,298,244,380,252,336,422,521,374,769,1216,2042,1768,936,1451,1496,21742
ZCTA5 21746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21746
ZCTA5 21750,1628,97,102,38,82,157,74,36,22,45,154,148,219,91,75,137,151,21750
ZCTA5 21754,2660,55,16,22,28,0,19,71,28,11,9,134,205,217,211,439,1195,21754
ZCTA5 21755,2136,54,0,42,30,45,42,0,19,12,50,145,224,301,252,405,515,21755
ZCTA5 21756,1394,43,12,17,11,44,158,4,12,11,72,139,159,125,101,239,247,21756
ZCTA5 21757,1018,8,5,4,15,32,29,2,8,59,28,110,198,154,71,158,137,21757
ZCTA5 21758,1588,85,17,19,37,2,10,2,39,1,132,104,214,204,155,291,276,21758
ZCTA5 21762,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,21762
ZCTA5 21766,342,0,0,8,25,27,9,25,24,0,7,71,45,20,72,9,0,21766
ZCTA5 21767,541,105,0,10,44,28,22,0,0,23,83,100,11,60,26,29,0,21767
ZCTA5 21769,4146,22,28,45,27,40,10,39,17,36,173,189,422,481,474,738,1405,21769
ZCTA5 21770,2622,34,0,9,0,25,0,38,0,0,81,185,206,104,270,512,1158,21770
ZCTA5 21771,11226,257,69,91,113,78,153,146,84,182,407,420,1190,989,1036,2170,3841,21771
ZCTA5 21773,1997,48,16,18,3,32,5,32,22,49,55,98,123,178,210,405,703,21773
ZCTA5 21774,5647,96,15,29,50,65,38,105,33,61,136,336,482,497,443,1117,2144,21774
ZCTA5 21776,2346,49,23,20,20,70,43,38,22,50,79,133,293,281,255,410,560,21776
ZCTA5 21777,817,0,0,0,0,0,0,0,0,22,21,28,30,168,82,178,288,21777
ZCTA5 21778,332,0,0,85,0,0,5,0,0,15,0,54,32,11,48,15,67,21778
ZCTA5 21779,462,0,28,0,16,22,0,94,9,8,24,34,9,52,20,8,138,21779
ZCTA5 21780,781,31,29,6,3,19,9,30,8,0,66,159,80,86,99,83,73,21780
ZCTA5 21781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21781
ZCTA5 21782,1522,35,16,18,35,21,23,18,36,94,221,58,216,252,135,194,150,21782
ZCTA5 21783,3632,58,84,28,134,55,63,100,57,90,224,339,578,450,367,415,590,21783
ZCTA5 21784,13416,263,169,194,181,249,224,165,252,239,270,828,1421,1552,1247,2035,4127,21784
ZCTA5 21787,4431,241,63,202,118,110,114,92,99,130,145,377,794,501,412,509,524,21787
ZCTA5 21788,4649,132,96,155,116,201,134,47,97,33,148,409,827,531,351,478,894,21788
ZCTA5 21790,35,0,0,0,0,0,0,0,0,0,0,17,8,10,0,0,0,21790
ZCTA5 21791,1968,28,29,34,54,59,25,36,49,28,184,182,376,285,128,289,182,21791
ZCTA5 21793,3890,99,24,51,33,185,28,103,40,26,149,285,496,462,433,715,761,21793
ZCTA5 21794,660,8,9,0,0,0,14,0,0,0,27,45,6,18,43,87,403,21794
ZCTA5 21795,3935,129,138,70,93,103,47,119,199,124,289,292,543,309,428,380,672,21795
ZCTA5 21797,2849,22,0,18,6,8,96,33,8,127,75,84,256,214,170,494,1238,21797
ZCTA5 21798,929,32,7,17,9,33,11,33,4,12,23,119,114,71,42,127,275,21798
ZCTA5 21801,11348,583,323,773,210,616,630,278,398,597,682,897,1398,603,783,1109,1468,21801
ZCTA5 21804,15707,972,529,402,705,406,538,488,496,354,1098,1985,2018,1770,1213,1521,1212,21804
ZCTA5 21810,21,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,21810
ZCTA5 21811,10749,497,249,201,274,224,303,241,321,262,951,1026,1387,1392,776,1051,1594,21811
ZCTA5 21813,1297,0,47,23,0,0,22,20,0,57,83,103,98,214,186,141,303,21813
ZCTA5 21814,126,45,0,0,0,0,0,0,0,20,0,0,37,24,0,0,0,21814
ZCTA5 21817,1925,140,116,84,128,93,100,45,134,27,194,167,252,162,96,124,63,21817
ZCTA5 21821,375,30,29,13,48,7,43,0,4,0,12,80,22,61,12,6,8,21821
ZCTA5 21822,1108,71,17,26,31,37,64,51,58,8,116,37,167,225,33,30,137,21822
ZCTA5 21824,123,3,0,0,0,0,5,5,0,0,7,35,41,8,0,19,0,21824
ZCTA5 21826,1909,105,52,44,129,89,45,70,89,76,173,187,261,249,130,163,47,21826
ZCTA5 21829,199,16,0,0,0,0,3,0,0,37,0,64,0,11,0,55,13,21829
ZCTA5 21830,1805,34,68,49,11,50,35,60,7,7,116,128,246,262,248,187,297,21830
ZCTA5 21835,184,10,0,0,0,10,23,34,0,28,42,6,6,10,4,11,0,21835
ZCTA5 21837,1123,17,43,21,63,15,18,2,73,57,174,134,174,109,73,84,66,21837
ZCTA5 21838,715,12,0,29,15,39,30,45,51,10,0,33,269,52,11,16,103,21838
ZCTA5 21840,179,0,0,0,0,0,0,0,0,0,18,0,57,21,0,17,66,21840
ZCTA5 21841,340,0,0,25,0,95,16,10,11,0,7,12,37,64,0,47,16,21841
ZCTA5 21842,5751,268,64,104,151,148,232,188,188,125,541,566,823,577,326,474,976,21842
ZCTA5 21849,1402,61,58,15,48,22,0,8,82,132,190,134,211,201,55,68,117,21849
ZCTA5 21850,1609,74,40,19,42,20,39,56,31,34,96,270,432,205,29,144,78,21850
ZCTA5 21851,3252,263,176,175,299,68,130,159,157,90,146,285,387,352,156,285,124,21851
ZCTA5 21853,3599,642,114,50,109,65,96,80,110,43,161,626,293,516,229,340,125,21853
ZCTA5 21856,377,0,0,0,0,0,0,31,23,0,0,73,113,63,0,53,21,21856
ZCTA5 21861,373,2,6,7,22,7,3,17,36,0,11,20,110,68,14,26,24,21861
ZCTA5 21862,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,21862
ZCTA5 21863,2113,97,161,130,89,115,90,31,113,95,96,189,263,178,217,88,161,21863
ZCTA5 21864,275,10,0,0,6,4,33,0,7,10,49,0,76,59,0,6,15,21864
ZCTA5 21865,139,0,14,0,0,0,0,0,0,0,36,14,21,17,22,0,15,21865
ZCTA5 21866,53,0,0,6,0,0,0,0,0,0,0,0,34,4,9,0,0,21866
ZCTA5 21867,24,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,21867
ZCTA5 21869,308,5,30,22,0,20,8,9,14,13,24,40,14,40,26,26,17,21869
ZCTA5 21871,814,39,118,22,119,10,56,0,24,6,68,88,56,69,63,55,21,21871
ZCTA5 21872,270,6,13,0,0,0,21,0,0,0,0,12,41,129,0,14,34,21872
ZCTA5 21874,666,17,37,19,18,27,10,30,23,19,42,71,116,81,68,60,28,21874
ZCTA5 21875,3173,65,15,35,133,96,177,94,89,80,371,256,694,331,281,233,223,21875
ZCTA5 21890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21890
ZCTA5 21901,7510,284,132,86,248,48,262,388,65,135,303,501,839,1133,688,1271,1127,21901
ZCTA5 21902,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21902
ZCTA5 21903,2383,156,54,159,120,46,9,7,81,89,105,247,390,222,168,365,165,21903
ZCTA5 21904,2269,51,85,15,92,100,113,34,47,14,166,186,343,230,171,305,317,21904
ZCTA5 21911,3953,106,39,75,138,110,74,154,189,105,162,286,436,611,413,461,594,21911
ZCTA5 21912,696,0,0,86,0,0,0,8,67,110,37,56,95,34,0,66,137,21912
ZCTA5 21913,367,3,25,18,42,18,10,17,13,5,14,14,31,34,65,39,19,21913
ZCTA5 21914,332,0,14,0,16,16,0,40,26,0,40,26,33,10,31,61,19,21914
ZCTA5 21915,1217,128,24,4,28,0,22,61,20,55,38,152,98,201,110,71,205,21915
ZCTA5 21917,818,88,9,0,0,0,21,0,39,19,17,24,204,108,78,117,94,21917
ZCTA5 21918,1775,26,39,54,32,35,35,21,108,85,73,251,200,157,168,201,290,21918
ZCTA5 21919,1450,99,20,69,27,59,13,13,58,43,100,66,117,133,91,361,181,21919
ZCTA5 21920,436,0,0,56,0,0,0,0,0,0,32,52,0,105,15,176,0,21920
ZCTA5 21921,17316,758,313,613,426,743,467,415,688,625,1169,1495,2273,2393,1232,1820,1886,21921
ZCTA5 21930,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21930
ZCTA5 22003,18962,401,572,406,245,344,437,392,357,354,779,1004,1859,1529,1274,2534,6475,22003
ZCTA5 22015,14615,263,80,131,135,207,133,169,135,207,432,450,1062,1387,1297,2504,6023,22015
ZCTA5 22025,6474,103,29,25,80,100,16,78,101,79,111,386,761,608,748,1276,1973,22025
ZCTA5 22026,6760,260,63,62,64,225,0,110,165,228,159,621,667,789,556,1196,1595,22026
ZCTA5 22027,636,0,44,0,0,0,0,16,0,0,0,0,9,20,0,117,430,22027
ZCTA5 22030,21143,557,201,329,362,467,430,125,469,431,706,1312,2525,1752,1538,3224,6715,22030
ZCTA5 22031,14825,415,75,204,98,261,113,217,346,307,527,750,2033,1530,1259,2238,4452,22031
ZCTA5 22032,9796,184,65,57,81,56,184,86,138,113,103,416,757,871,781,1870,4034,22032
ZCTA5 22033,15840,351,259,151,89,186,86,217,91,152,387,1039,1711,1727,1857,2989,4548,22033
ZCTA5 22035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22035
ZCTA5 22039,5927,22,45,0,29,13,44,71,43,22,39,89,173,144,400,964,3829,22039
ZCTA5 22041,11132,551,306,364,349,348,239,141,398,343,606,761,1497,1049,1020,1182,1978,22041
ZCTA5 22042,12287,204,12,118,185,273,189,204,200,363,499,645,1413,1137,1192,1761,3892,22042
ZCTA5 22043,9927,117,197,175,133,262,164,123,193,133,450,488,1147,867,717,1194,3567,22043
ZCTA5 22044,5442,242,121,232,133,131,191,133,130,98,368,243,651,630,377,540,1222,22044
ZCTA5 22046,7217,136,47,63,72,118,225,101,79,205,274,439,588,483,597,700,3090,22046
ZCTA5 22060,2893,13,0,5,8,42,74,35,45,61,260,288,419,534,350,418,341,22060
ZCTA5 22066,5678,31,46,0,0,70,47,18,21,24,18,71,245,192,337,574,3984,22066
ZCTA5 22079,11618,180,49,80,44,201,117,81,135,163,279,634,1346,1431,1178,1707,3993,22079
ZCTA5 22101,11014,328,216,160,99,228,99,77,50,46,156,369,347,541,384,859,7055,22101
ZCTA5 22102,13541,468,227,113,146,98,176,59,168,190,277,631,1739,1448,892,1879,5030,22102
ZCTA5 22124,6743,72,37,4,29,27,30,0,89,92,176,192,440,564,415,887,3689,22124
ZCTA5 22125,388,0,3,3,0,7,3,12,7,5,4,10,37,28,53,97,119,22125
ZCTA5 22134,1469,48,19,14,18,90,29,38,124,59,184,159,269,107,84,86,141,22134
ZCTA5 22150,9373,125,95,147,259,189,238,201,122,386,347,671,1076,958,1119,1185,2255,22150
ZCTA5 22151,5506,28,48,0,112,77,83,116,65,121,211,128,530,444,607,1154,1782,22151
ZCTA5 22152,9443,137,14,101,77,123,139,60,64,108,241,447,915,797,824,2034,3362,22152
ZCTA5 22153,10971,182,33,71,20,55,110,146,41,258,186,371,539,1291,1172,2263,4233,22153
ZCTA5 22172,3662,97,75,60,72,63,50,78,243,141,129,235,410,372,435,448,754,22172
ZCTA5 22180,9831,173,59,82,162,124,208,40,170,173,86,309,796,957,720,1497,4275,22180
ZCTA5 22181,5499,134,21,4,74,101,39,30,38,84,56,230,347,334,209,764,3034,22181
ZCTA5 22182,9903,298,68,80,86,47,139,194,78,59,142,258,624,864,482,1481,5003,22182
ZCTA5 22191,25284,533,537,490,369,392,339,274,390,491,1800,2149,3534,3423,2354,3953,4256,22191
ZCTA5 22192,20811,618,299,161,203,328,468,205,390,378,797,1257,2648,2354,2331,2809,5565,22192
ZCTA5 22193,24383,608,247,188,449,377,487,233,546,450,1111,1644,3349,3131,2199,3813,5551,22193
ZCTA5 22201,19736,856,259,115,208,111,254,234,267,216,403,976,2354,2143,1723,3336,6281,22201
ZCTA5 22202,16120,724,268,172,120,50,274,139,353,171,556,889,1867,1887,1403,2894,4353,22202
ZCTA5 22203,13781,606,423,551,253,276,153,183,149,237,488,570,1233,1142,1231,2195,4091,22203
ZCTA5 22204,22546,857,534,252,534,638,639,244,709,323,1358,1683,2481,2813,1723,2510,5248,22204
ZCTA5 22205,6765,187,47,12,167,103,27,60,69,9,151,237,511,496,415,860,3414,22205
ZCTA5 22206,10985,151,124,79,168,326,109,178,267,275,261,592,795,1476,1061,2123,3000,22206
ZCTA5 22207,12231,345,40,43,39,10,131,226,85,133,248,455,557,741,730,1376,7072,22207
ZCTA5 22209,8600,599,337,135,106,171,253,158,84,59,283,479,1102,764,547,1221,2302,22209
ZCTA5 22211,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,22211
ZCTA5 22213,1680,16,11,11,0,21,0,34,15,28,18,33,250,150,86,172,835,22213
ZCTA5 22214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22214
ZCTA5 22301,5988,63,68,27,50,43,35,142,35,154,87,143,460,559,461,689,2972,22301
ZCTA5 22302,8834,184,63,56,147,88,65,148,137,87,513,730,1067,1222,652,1395,2280,22302
ZCTA5 22303,8273,183,204,69,126,96,56,65,81,236,576,835,1417,964,735,890,1740,22303
ZCTA5 22304,23348,929,818,617,371,862,477,486,338,569,1034,2092,2905,2884,1773,2994,4199,22304
ZCTA5 22305,7681,262,122,64,340,75,129,254,208,191,292,419,879,1037,508,885,2016,22305
ZCTA5 22306,10655,435,273,93,247,268,333,442,451,432,443,892,1126,1010,890,1461,1859,22306
ZCTA5 22307,4560,47,17,19,34,99,44,65,82,88,386,226,488,444,335,545,1641,22307
ZCTA5 22308,4835,86,16,23,14,11,56,58,22,55,98,155,204,269,242,869,2657,22308
ZCTA5 22309,12452,432,158,142,100,270,351,460,215,568,672,672,1867,1415,1000,1649,2481,22309
ZCTA5 22310,10720,173,56,49,58,66,70,149,180,152,315,495,869,1089,1079,1705,4215,22310
ZCTA5 22311,8429,393,33,266,79,119,221,241,197,258,434,1104,1510,813,655,910,1196,22311
ZCTA5 22312,10462,451,51,110,166,183,287,302,351,170,601,778,1056,1519,915,1287,2235,22312
ZCTA5 22314,20069,675,231,326,347,153,188,241,239,277,915,843,1892,1864,2022,3098,6758,22314
ZCTA5 22315,11539,260,151,32,65,106,126,105,74,120,512,480,1118,1228,950,1828,4384,22315
ZCTA5 22401,11704,441,314,555,355,482,289,240,254,249,657,1270,1799,905,803,1085,2006,22401
ZCTA5 22405,12709,185,154,169,166,126,278,204,178,356,520,1002,1300,1539,1417,1810,3305,22405
ZCTA5 22406,9838,320,180,144,165,14,139,198,245,159,300,643,1384,855,1267,1235,2590,22406
ZCTA5 22407,22974,517,238,341,332,484,473,612,443,817,1418,1575,3153,2781,2714,3624,3452,22407
ZCTA5 22408,12186,309,149,270,140,164,512,131,382,176,333,1425,1470,1434,1423,1860,2008,22408
ZCTA5 22427,1486,95,44,76,48,15,67,30,62,46,104,82,265,302,46,128,76,22427
ZCTA5 22432,138,0,0,0,0,0,0,10,14,41,8,56,0,0,9,0,0,22432
ZCTA5 22433,80,0,7,0,0,0,0,0,0,0,0,0,51,22,0,0,0,22433
ZCTA5 22435,980,72,56,0,57,35,7,50,24,167,75,208,64,27,33,64,41,22435
ZCTA5 22436,375,18,102,0,71,0,0,3,34,0,12,55,18,2,17,0,43,22436
ZCTA5 22437,200,0,9,0,0,4,0,24,0,0,2,0,13,47,30,26,45,22437
ZCTA5 22438,82,0,0,17,0,0,0,0,0,5,8,4,22,26,0,0,0,22438
ZCTA5 22443,4187,165,206,121,113,106,283,160,134,119,535,343,700,301,445,276,180,22443
ZCTA5 22448,252,3,0,0,0,3,0,19,0,3,34,25,42,25,21,49,28,22448
ZCTA5 22454,981,83,0,130,26,36,33,71,8,122,32,190,98,29,46,52,25,22454
ZCTA5 22460,843,0,20,83,0,31,39,19,19,68,38,195,119,59,94,29,30,22460
ZCTA5 22469,902,0,36,33,55,6,5,29,73,149,77,57,88,86,39,49,120,22469
ZCTA5 22472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22472
ZCTA5 22473,2372,121,72,54,115,79,119,107,198,33,120,241,260,121,204,248,280,22473
ZCTA5 22476,100,11,12,0,0,0,21,0,0,0,25,6,6,0,19,0,0,22476
ZCTA5 22480,553,17,12,10,3,22,7,34,15,1,77,55,74,30,40,58,98,22480
ZCTA5 22482,1728,24,196,140,72,103,196,52,33,101,81,112,273,59,137,64,85,22482
ZCTA5 22485,9881,400,141,229,73,120,125,334,125,267,408,798,1148,1188,1048,1641,1836,22485
ZCTA5 22488,643,70,91,20,30,42,42,0,25,12,52,93,45,45,0,76,0,22488
ZCTA5 22503,2058,59,87,0,87,207,19,81,113,91,73,253,472,120,121,137,138,22503
ZCTA5 22504,122,0,0,0,27,0,0,13,0,0,0,14,19,42,0,7,0,22504
ZCTA5 22508,6124,235,46,66,89,62,250,268,27,35,321,366,917,1005,603,792,1042,22508
ZCTA5 22509,53,0,0,34,0,19,0,0,0,0,0,0,0,0,0,0,0,22509
ZCTA5 22511,509,0,33,24,46,39,45,39,16,21,23,35,75,58,18,20,17,22511
ZCTA5 22514,1041,62,19,50,58,12,42,31,67,24,59,70,209,158,97,24,59,22514
ZCTA5 22520,2079,121,42,109,40,15,59,61,82,146,154,247,325,177,199,159,143,22520
ZCTA5 22529,73,0,0,0,27,0,0,0,0,0,0,10,11,0,25,0,0,22529
ZCTA5 22534,1098,43,7,8,16,75,12,0,34,32,40,29,196,139,153,211,103,22534
ZCTA5 22535,199,0,6,0,7,7,20,2,0,3,0,7,22,18,2,82,23,22535
ZCTA5 22538,129,20,0,0,47,0,0,0,0,0,10,17,5,0,0,0,30,22538
ZCTA5 22539,1054,77,14,0,53,8,48,0,9,39,39,155,129,116,185,108,74,22539
